1,2
其他应付款,其他应收款
其他应付款,应收账款
其他应收款,其他应付款
其他应收款,应付账款
其他应收款,长期借款
财务费用,财务费用
财务费用,使用权资产
财务费用,年初未分配利润
财务费用,无形资产
财务费用,在建工程
其他业务收入,其他业务成本
其他业务收入,财务费用
其他业务收入,管理费用
其他业务收入,销售费用
其他业务收入,资产处置收益_出售非流动资产收益
其他业务收入,营业外支出
使用权资产,租赁负债
使用权资产,一年内到期的非流动负债
使用权资产,专项应付款
使用权资产,存货
使用权资产,在建工程
使用权资产,财务费用
使用权资产,管理费用
使用权资产,销售费用
使用权资产,营业成本
无形资产减值准备,年初未分配利润
无形资产减值准备,无形资产
无形资产减值准备,在建工程
一年内到期的非流动负债,使用权资产
一年内到期的非流动负债,租赁负债
营业收入,使用权资产
营业收入,租赁负债
营业收入,财务费用
预收账款,预付账款
长期借款,其他应收款
主营业务收入,主营业务成本
主营业务收入,财务费用
租赁负债,存货
租赁负债,使用权资产
租赁负债,在建工程
租赁负债,专项应付款
租赁负债,租赁负债
租赁负债,营业成本
租赁负债,管理费用
租赁负债,销售费用
租赁负债,财务费用
租赁负债,营业收入
利息收入,财务费用
企业拆借利息收入,财务费用
生产成本,主营业务收入
生产成本,其他业务收入
材料采购,主营业务收入
材料采购,其他业务收入
库存商品,主营业务收入
库存商品,其他业务收入
长期股权投资,投资收益
长期股权投资,利润分配
